id,hoTen,namSinh,gioiTinh,diaChi,SDT,email,ngayDangKy,biCam,ngayBatDauCam,ngayKetThucCam
DG002,Le Thanh Nam,1996,Nu,Hue,992011588,le.thanh.nam@email.com,25/04/2026,false,,
DG003,Nguyen Anh Son,2006,Nam,Dong Nai,990886573,nguyen.anh.son@email.com,25/04/2026,false,,
DG004,Nguyen Duc Hanh,1996,Nu,Can Tho,914058786,nguyen.duc.hanh@email.com,25/04/2026,false,,
DG005,Dang Bao Quan,1997,Nu,Hue,915032944,dang.bao.quan@email.com,25/04/2026,false,,
DG006,Bui Minh Chau,1996,Nu,TP HCM,965089494,bui.minh.chau@email.com,25/04/2026,false,,
DG007,Nguyen Gia Long,2003,Nu,Tay Ninh,924557477,nguyen.gia.long@email.com,25/04/2026,false,,
DG008,Vo Quoc Vy,1996,Nu,Hue,992393985,vo.quoc.vy@email.com,25/04/2026,false,,
DG009,Pham Van Khanh,2004,Nam,TP HCM,950939092,pham.van.khanh@email.com,25/04/2026,false,,
DG010,Pham Duc Vy,2001,Nam,Binh Duong,955182117,pham.duc.vy@email.com,25/04/2026,false,,
DG011,Nguyen Anh An,2001,Nu,Ha Noi,925146092,nguyen.anh.an@email.com,25/04/2026,false,,
DG012,Bui Minh Quan,2004,Nam,Dong Nai,984902900,bui.minh.quan@email.com,25/04/2026,false,,
DG013,Nguyen Bao An,2002,Nu,Vung Tau,996785451,nguyen.bao.an@email.com,25/04/2026,false,,
DG014,Pham Gia Long,2006,Nu,Vung Tau,993953816,pham.gia.long@email.com,25/04/2026,false,,
DG015,Phan Bao Quan,2003,Nam,Dong Nai,947728907,phan.bao.quan@email.com,25/04/2026,false,,
DG016,Hoang Anh An,1997,Nu,Can Tho,954163842,hoang.anh.an@email.com,25/04/2026,false,,
DG017,Pham Gia Long,1998,Nu,Hue,915246550,pham.gia.long@email.com,25/04/2026,false,,
DG018,Vo Anh Long,2006,Nu,Ha Noi,928923530,vo.anh.long@email.com,25/04/2026,false,,
DG019,Le Ngoc Chau,2001,Nam,Hue,991875555,le.ngoc.chau@email.com,25/04/2026,false,,
DG020,Nguyen Minh Long,2006,Nu,Hue,911530732,nguyen.minh.long@email.com,25/04/2026,false,,
DG021,Tran Thanh Long,2002,Nu,Tay Ninh,961403267,tran.thanh.long@email.com,25/04/2026,false,,
DG022,Dang Minh Son,1998,Nam,Binh Duong,953462004,dang.minh.son@email.com,25/04/2026,false,,
DG023,Do Bao Binh,2005,Nam,Can Tho,912243639,do.bao.binh@email.com,25/04/2026,false,,
DG024,Le Gia Chau,2000,Nam,Can Tho,967307673,le.gia.chau@email.com,25/04/2026,false,,
